athlete,country,gold,silver,bronze
"CASLAVSKA, Vera",Czechoslovakia,7,4,0
"FISCHER, Birgit",East Germany,8,4,0
"NURMI, Paavo",Finland,9,3,0
"VAN ALMSICK, Franziska",Germany,0,4,6
"GEREVICH, Aladar",Hungary,7,1,2
"KELETI, Agnes",Hungary,5,3,2
"MANGIAROTTI, Edoardo",Italy,6,5,2
"GAUDINI, Giulio",Italy,3,4,2
"ONO, Takashi",Japan,5,4,4
"KATO, Sawao",Japan,8,3,1
"NAKAYAMA, Akinori",Japan,6,2,2
"COMANECI, Nadia",Romania,5,3,1
"NEMOV, Alexei",Russia,4,2,6
"LATYNINA, Larisa",Soviet Union,9,5,4
"ANDRIANOV, Nikolay",Soviet Union,7,5,3
"SHAKHLIN, Boris",Soviet Union,7,4,2
"CHUKARIN, Viktor Ivanovich",Soviet Union,7,3,1
"ASTAKHOVA, Polina",Soviet Union,5,2,3
"DITYATIN, Aleksandr",Soviet Union,3,6,1
"SCHERBO, Vitaly",Unified team,6,0,4
"PHELPS, Michael",United States,14,0,2
"THOMPSON, Jenny",United States,8,3,1
"TORRES, Dara",United States,4,4,4
"BIONDI, Matthew",United States,8,2,1
"COUGHLIN, Natalie",United States,3,4,4
"OSBURN, Carl Townsend",United States,5,4,2
"SPITZ, Mark",United States,9,1,1
"HALL, Gary Jr.",United States,5,3,2
"LEWIS, Carl",United States,9,1,0
